geo_value,time_value,value,stderr
ak,2022-05-01,17.2611123,3.0959654
al,2022-05-01,18.0684563,1.4220701
ar,2022-05-01,20.1153496,1.8089543
az,2022-05-01,13.8974917,1.1167921
ca,2022-05-01,13.6121354,0.5178464
co,2022-05-01,15.0429243,1.1508257
ct,2022-05-01,11.5728227,1.1688846
de,2022-05-01,15.0172014,2.4770134
fl,2022-05-01,13.6960393,0.5932975
ga,2022-05-01,13.0120479,0.9385448
hi,2022-05-01,12.2474369,2.2896842
ia,2022-05-01,12.3430364,1.2363996
id,2022-05-01,16.8570904,2.0766139
il,2022-05-01,14.554909,0.7697365
in,2022-05-01,15.2896798,1.0826451
ks,2022-05-01,16.696596,1.6169661
ky,2022-05-01,14.0993809,1.2698738
la,2022-05-01,16.3201936,1.5344722
ma,2022-05-01,12.7759067,1.0262911
md,2022-05-01,18.4455709,1.3326872
me,2022-05-01,16.7579898,1.8159842
mi,2022-05-01,14.8087725,0.7640639
mn,2022-05-01,13.9254087,1.1298201
mo,2022-05-01,17.157131,1.1934323
ms,2022-05-01,15.4054893,1.7707625
mt,2022-05-01,21.0483833,2.5731118
nc,2022-05-01,14.2004597,0.8843205
nd,2022-05-01,16.9725435,3.5155744
ne,2022-05-01,11.5404623,1.7211283
nh,2022-05-01,16.4779764,2.1599387
nj,2022-05-01,13.5232182,1.0296796
nm,2022-05-01,21.7405422,2.0088532
nv,2022-05-01,11.2362777,1.646455
ny,2022-05-01,15.9297789,0.6958247
oh,2022-05-01,18.461995,0.8634777
ok,2022-05-01,17.8542292,1.6039996
or,2022-05-01,15.6918201,1.2374098
pa,2022-05-01,14.490232,0.7499602
ri,2022-05-01,16.0257604,2.6898619
sc,2022-05-01,11.5093759,1.0649675
sd,2022-05-01,10.4126796,2.1954108
tn,2022-05-01,15.3684464,1.0894012
tx,2022-05-01,13.9194125,0.6135423
ut,2022-05-01,16.3674279,1.6463843
va,2022-05-01,13.4776426,0.9124201
vt,2022-05-01,14.8189549,2.6408304
wa,2022-05-01,15.4761101,0.9243443
wi,2022-05-01,15.3561575,1.0782458
wv,2022-05-01,16.0073651,1.7953967
wy,2022-05-01,8.1991241,2.6396944
ak,2022-05-02,15.9191634,2.9198383
al,2022-05-02,16.7670825,1.3931638
ar,2022-05-02,19.9945282,1.7832081
az,2022-05-02,13.7701562,1.1084494
ca,2022-05-02,14.0450812,0.52434
co,2022-05-02,15.4876475,1.1762908
ct,2022-05-02,11.4929421,1.1622701
de,2022-05-02,9.1828572,2.026865
fl,2022-05-02,12.9158238,0.5774608
ga,2022-05-02,13.8309401,0.9571214
hi,2022-05-02,10.870951,2.1740347
ia,2022-05-02,12.2560645,1.2477225
id,2022-05-02,16.2446425,2.0213094
il,2022-05-02,13.4136966,0.7479716
in,2022-05-02,16.7682559,1.1269108
ks,2022-05-02,18.3177506,1.6931682
ky,2022-05-02,14.5926441,1.3039011
la,2022-05-02,16.7657456,1.5263323
ma,2022-05-02,12.3587751,1.0108537
md,2022-05-02,17.348098,1.294999
me,2022-05-02,15.6569177,1.7668826
mi,2022-05-02,13.8581489,0.7446254
mn,2022-05-02,15.0573772,1.1702125
mo,2022-05-02,15.7305345,1.1654586
ms,2022-05-02,16.2032224,1.8313774
mt,2022-05-02,21.4518182,2.6333192
nc,2022-05-02,15.3654954,0.9063718
nd,2022-05-02,18.7912828,3.5961561
ne,2022-05-02,12.2933747,1.757724
nh,2022-05-02,14.1597919,2.065149
nj,2022-05-02,9.8885911,0.9100202
nm,2022-05-02,23.5609865,2.0333194
nv,2022-05-02,11.2103478,1.6817222
ny,2022-05-02,15.5301419,0.6901708
oh,2022-05-02,17.8081289,0.8613108
ok,2022-05-02,18.2449909,1.6076748
or,2022-05-02,14.7102706,1.2050379
pa,2022-05-02,13.8544926,0.7372171
ri,2022-05-02,14.6738464,2.6522065
sc,2022-05-02,10.5151555,1.0236332
sd,2022-05-02,10.5164576,2.2726946
tn,2022-05-02,15.9107429,1.121391
tx,2022-05-02,14.288533,0.6250205
ut,2022-05-02,16.2717157,1.6623681
va,2022-05-02,13.7495261,0.9165065
vt,2022-05-02,13.1660978,2.5063229
